radius (nm),ovf,kappa
80,1,0.1055
80,1,0.108
45,0.529492455,0.2903
50,0.657,0.2264
60,0.80150463,0.1787
70,0.875,0.1482
47,0.587037554,0.2757
55,0.742299023,0.2058
65,0.843878015,0.1638
90,0.941186557,0.1211
80,1,0.1079
80,1,0.1132
45,0.529492455,0.2988
50,0.657,0.2351
60,0.80150463,0.1798
70,0.875,0.1521
47,0.587037554,0.2811
55,0.742299023,0.2064
65,0.843878015,0.1672
90,0.941186557,0.125
